caseid,v013,v024,v025,v106,v130,v131,v136,v137,v150,v151,v152,v157,v158,v159,v190,v201,v213,v218,v225,v312,v463a,v463b,v463c,v463x,v463z,v501,v504,v505,v511,v613,v621,v701,v704,v714,v716,v730,v743a,v743b,v743d,v743f,v744a,v744b,v744c,v744d,v744e,v745a,v745b,v822,v850a,v812,d101a,d101b,d101c,d101d,d101e,d104,d106,d107,d108,d113,d121,d129,ipv,vio
     0023112 02,2,9,1,2,2,6,2,0,2,1,30,0,2,2,4,0,1,0,1,0,0,0,0,0,1,1,1,0,22,2,1,2,72,0,0,30,2,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
     0024014 02,3,9,1,2,2,3,5,1,2,1,32,0,0,2,5,2,0,2, ,10,0,0,0,0,1,1,1,0,24,2,1,3,91,1,53,32,2,1,2,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,NaN
     0024032 02,3,9,1,2,2,7,4,1,2,1,29,2,2,2,5,1,0,1, ,1,0,0,0,0,1,1,1,0,20,4,3,2,91,1,77,29,2,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,NaN
     0024050 02,3,9,1,1,1,3,4,1,2,1,40,0,0,2,5,2,0,2, ,0,0,0,0,0,1,1,1,0,19,3,1,2,41,0,0,30,4,4,2,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NaN
     0024068 01,4,9,1,2,2,4,1,0,1,2,31,0,0,2,5,2,0,2, ,0,0,0,0,0,1,5, , ,17,3, ,3,35,1,91, , , , , ,0,0,0,0,0,0,0,1, ,0,0,0,0,0,0,0,0,0,0,1,0,2,0,NaN
     0024086 02,5,9,1,2,2,6,6,0,2,1,42,0,1,2,5,4,0,4, ,3,0,0,0,0,1,1,1,0,18,6,3,1,71,1,91,42,1,2,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,8,0,2,NaN
     0024104 01,3,9,1,1,1,3,1,0,1,2,28,2,2,0,5,2,0,2, ,11,0,0,0,0,1,5, , ,19,4, ,1,91,1,91, , , , , ,0,0,0,0,0,0,0,1, ,0,1,1,1,0,1,1,1,1,1,0,1,1,4,NaN
     0025113 02,3,9,1,2,2,4,4,0,2,1,34,1,2,2,5,2,0,2, ,1,0,0,0,0,1,1,1,0,19,2,1,2,51,1,35,30,1,4,2,4,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,2,4,NaN
     0026018 02,3,9,1,1,2,5,4,2,2,1,34,0,2,0,4,2,0,2, ,3,0,0,0,0,1,1,1,0,19,3,1,1,88,0,0,34,2,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,8,0,0,NaN
     0027032 02,4,9,1,2,2,3,9,3,2,1,60,0,2,0,3,7,0,7, ,0,0,0,0,0,1,1,1,0,18,4,1,1,91,0,0,57,2,2,2,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,NaN
     0027064 02,4,9,1,1,2,4,8,2,2,1,47,0,1,0,3,7,0,6, ,0,0,0,0,0,1,1,1,0,18,96,2,2,74,1,74,43,2,2,2,2,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
     0027080 02,2,9,1,1,1,4,4,1,2,1,31,0,2,2,4,2,0,2, ,3,0,0,0,0,1,1,1,0,16,2,8,1,91,1,51,31,1,1,4,1,1,1,1,0,0,2,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,2,3,NaN
     0027096 01,7,9,1,2,2,4,5,0,1,2,48,0,2,2,4,1,0,1, ,0,0,0,0,0,1,5, , ,24,5, ,2,42,0,39, , , , , ,0,0,0,0,0,2,2,1, ,0,1,0,1,0,1,1,0,0,0,1,0,0,1,NaN
     0028031 01,4,9,1,3,1,5,3,1,1,2,31,2,2,2,5,1,0,1, ,2,0,0,0,0,1,1,2,0,29,2,1,3,28,1,15,33,2,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
     0028064 02,5,9,1,3,2,5,2,0,2,1,43,2,2,2,5,1,0,1, ,0,0,0,0,0,1,1,1,0,19,3,1,3,35,1,28,43,2,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
     0028081 01,6,9,1,3,1,4,3,1,1,2,41,2,1,2,5,2,0,2, ,2,0,0,0,0,1,4, , ,27,3, ,3,91,1,24, , , , , ,0,0,0,0,0,0,0,1, ,0,0,0,0,0,0,0,1,0,0,1,1,0,1,NaN
     0029036 02,1,9,1,2,2,3,3,0,2,1,27,0,2,0,5,0,0,0, ,1,0,0,0,0,1,1,1,0,16,2,2,3,25,0,0,27,4,4,1,4,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,NaN
     0029048 02,2,9,1,2,2,4,4,2,2,1,37,0,2,2,5,2,0,2, ,1,0,0,0,0,1,1,1,0,15,2,1,3,14,1,51,34,1,4,1,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NaN
     0031040 01,4,9,1,1,2,3,3,0,1,2,30,2,2,2,5,2,0,2, ,0,0,0,0,0,1,3, , ,14,1, ,2,28,1,52, , , , , ,0,0,0,0,0,0,0,1, ,0,0,0,0,0,0,0,0,0,0,1,0,2,0,NaN
     0031083 02,4,9,1,1,4,4,6,1,3,2,50,0,2,0,4,3,0,3, ,11,0,0,0,0,1,5, , ,21,5, ,0,35,1,91, , , , , ,0,0,0,0,0,0,0,1, ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NaN
