v013,v024,v025,v106,v130,v131,v136,v137,v150,v151,v152,v157,v158,v159,v169a,v171a,v190,v201,v213,v218,v225,v312,v463a,v463b,v463c,v463x,v463z,v501,v504,v505,v511,v613,v621,v701,v704,v714,v716,v730,v743a,v743b,v743d,v743f,v744a,v744b,v744c,v744d,v744e,v745a,v745b,v745c,v745d,v822,v850a,v812,d101a,d101b,d101c,d101d,d101e,d113,d121,d129,s711a,s711b,ipv
3,5,2,0,4,5,7,3,1,2,28,0,2,0,1,0,4,5,0,5,,0,0,0,0,0,1,1,1,1,17,10,2,0,52,1,52,45,4,4,4,4,1,1,1,1,1,2,0,0,,1,0,0,0,0,0,0,0,0,0,1,2,0,0
2,5,2,3,4,5,5,0,3,2,60,0,0,1,1,0,1,0,0,0,,0,0,0,0,0,1,4,,,16,12,,,,0,0,,,,,,0,1,1,0,1,0,0,,,1,,0,0,0,1,1,1,0,0,2,2,1,1
2,5,2,0,4,5,3,2,1,2,20,0,2,0,1,0,2,2,1,2,1,0,0,0,0,0,1,1,2,0,13,15,1,0,52,0,0,34,4,4,1,4,1,1,1,1,1,0,0,,,8,0,0,0,0,0,0,0,0,0,2,2,0,0
5,5,2,0,4,5,8,3,1,2,37,0,0,0,1,0,2,7,0,7,,0,0,0,0,0,1,1,2,1,19,96,1,1,0,1,52,42,4,2,2,2,1,0,0,0,1,1,0,0,,0,1,0,1,0,0,0,0,0,0,0,2,0,0
5,5,2,0,4,5,5,1,1,2,35,0,1,1,1,0,1,7,0,5,,0,0,0,0,0,1,1,1,1,14,20,2,0,26,1,62,75,4,4,4,4,1,1,0,0,1,1,0,1,,0,1,0,0,0,0,0,0,0,0,2,2,0,2
5,5,2,0,4,5,5,2,1,2,35,0,0,0,0,0,2,4,1,3,1,0,0,0,0,0,1,1,1,0,26,95,2,0,52,0,0,40,4,4,4,4,1,1,1,1,0,2,0,0,,1,0,0,0,0,0,0,0,0,0,0,2,0,0
1,5,2,2,4,5,7,0,4,2,53,0,0,0,1,0,2,0,0,0,,0,0,0,0,0,1,1,2,0,14,5,2,0,52,0,0,18,4,4,4,4,1,1,1,1,1,0,0,,,1,0,0,0,0,0,0,0,0,1,2,2,1,0
5,5,2,0,4,5,9,3,1,2,35,0,1,0,0,0,2,7,0,7,,0,0,0,0,0,1,1,1,1,20,95,1,0,12,0,0,60,1,4,1,4,0,1,0,0,1,2,0,0,,0,0,0,0,0,0,0,0,0,0,2,2,0,1
4,3,2,0,4,1,7,2,2,1,40,0,0,0,0,0,3,5,0,5,,3,0,0,0,0,1,1,1,0,11,5,1,0,63,0,63,40,1,2,2,2,0,0,1,0,0,2,2,0,1,8,1,0,1,0,0,1,1,0,0,2,2,0,1
2,3,2,0,4,1,3,1,2,1,26,0,0,0,0,0,3,1,0,1,,3,0,0,0,0,1,1,1,0,16,4,8,1,52,0,0,26,1,4,2,4,0,0,0,1,0,0,0,,,0,1,0,1,0,0,0,1,0,1,2,2,0,1
3,3,2,0,1,1,4,0,2,1,40,0,0,0,0,0,3,3,1,2,1,0,0,0,0,0,1,1,1,0,13,4,1,1,93,0,0,40,2,2,2,2,0,0,0,0,0,2,0,1,,1,1,0,1,0,0,0,0,1,0,2,2,0,2
2,3,2,1,4,1,4,2,2,1,26,1,0,0,0,0,1,2,0,2,,3,0,0,0,0,1,1,1,0,17,4,2,1,63,0,63,26,2,2,1,2,0,0,1,0,0,2,1,0,1,1,1,0,1,0,1,0,1,1,0,0,2,1,0
5,3,2,0,4,1,6,0,2,1,42,0,0,0,0,0,3,5,0,4,,2,0,0,0,0,1,1,1,1,11,10,8,1,95,0,0,42,2,2,2,2,0,0,0,0,0,2,0,0,,1,1,0,0,0,0,0,0,1,0,2,2,0,2
4,3,2,0,4,1,6,1,2,1,36,0,0,0,0,0,2,5,0,4,,0,0,0,0,0,1,1,1,0,13,5,2,0,52,0,0,35,2,2,2,2,1,0,1,0,0,2,2,0,1,1,0,0,1,0,0,1,0,0,1,2,2,0,1
4,3,2,0,4,1,4,0,2,1,48,0,0,0,0,0,5,3,0,2,,0,0,0,0,0,1,1,1,0,12,4,8,1,96,0,52,48,2,2,2,2,0,0,0,0,0,2,0,1,,1,1,0,0,0,0,0,0,0,8,2,2,0,0
4,3,2,0,4,1,5,1,2,1,50,0,0,0,0,0,3,4,0,4,,3,0,0,0,0,1,1,1,0,12,4,8,0,63,1,63,50,2,2,2,2,0,0,0,0,0,2,2,1,1,8,1,0,0,0,0,0,0,0,0,0,2,0,0
5,3,2,0,4,1,4,1,2,1,35,0,0,0,0,0,4,4,0,4,,3,0,0,0,0,1,1,1,0,23,98,8,0,63,0,63,35,2,2,2,2,1,1,1,1,1,0,0,,,0,0,0,1,1,0,0,1,0,0,2,2,0,0
4,7,2,1,2,2,9,2,2,1,30,0,0,0,1,0,4,7,0,7,,3,0,0,0,0,1,1,1,0,18,3,1,1,93,1,52,30,4,4,4,4,1,1,1,0,1,2,1,2,2,1,0,0,1,0,0,0,1,0,1,0,3,1,1
2,7,2,1,3,7,4,2,2,1,30,0,0,0,0,0,3,2,0,2,,3,0,0,0,0,1,1,1,0,15,4,2,0,63,0,0,30,4,4,4,4,0,0,0,0,0,0,0,,,1,1,0,1,0,0,0,0,1,0,1,1,1,2
3,7,2,3,3,7,4,1,2,1,30,0,0,0,1,0,5,2,1,2,1,0,0,0,0,0,1,1,1,0,19,3,1,2,52,1,96,30,2,2,2,2,0,0,0,0,0,2,2,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0
5,7,2,1,3,7,7,1,2,1,41,0,0,0,0,0,4,6,0,6,,3,0,0,0,0,1,1,1,0,12,96,2,1,63,1,52,42,2,2,2,2,1,1,1,1,1,0,1,,1,1,0,0,1,0,0,0,1,0,0,1,3,1,2
